i,t,px,py,rootchild,fx,fy,fw,fh,cx,cy,cw,ch
76,6.32164980599191,667,146,0x20000f,90,59,484,347,0,31,484,316
77,6.404855375003535,672,147,0x20000f,90,59,484,347,0,31,484,316
78,6.487998004013207,677,148,0x20000f,90,59,484,347,0,31,484,316
79,6.571127851027995,682,149,0x20000f,90,59,484,347,0,31,484,316
80,6.654310247977264,687,150,0x20000f,90,59,484,347,0,31,484,316
81,6.737419544020668,692,151,0x20000f,90,59,484,347,0,31,484,316
82,6.8205877330037765,697,152,0x20000f,90,59,484,347,0,31,484,316
83,6.904041343019344,702,153,0x20000f,90,59,484,347,0,31,484,316
84,6.98715873999754,707,154,0x20000f,90,59,484,347,0,31,484,316
85,7.070358009019401,711,155,0x20000f,90,59,484,347,0,31,484,316
86,7.15356119198259,716,156,0x20000f,90,59,484,347,0,31,484,316
87,7.236740022024605,721,157,0x20000f,90,59,484,347,0,31,484,316
88,7.319906054995954,726,158,0x20000f,90,59,484,347,0,31,484,316
89,7.403026807995047,731,159,0x20000f,90,59,484,347,0,31,484,316
90,7.486173907993361,736,160,0x20000f,90,59,484,347,0,31,484,316
91,7.569321800023317,741,161,0x20000f,90,59,484,347,0,31,484,316
92,7.652521635987796,746,162,0x20000f,90,59,484,347,0,31,484,316
93,7.735652567993384,751,163,0x20000f,90,59,484,347,0,31,484,316
94,7.818766159994993,756,164,0x20000f,90,59,484,347,0,31,484,316
95,7.902614644030109,761,165,0x20000f,90,59,484,347,0,31,484,316
96,7.985776662011631,766,166,0x20000f,90,59,484,347,0,31,484,316
97,8.06902065401664,771,167,0x20000f,90,59,484,347,0,31,484,316
98,8.15293829498114,776,168,0x20000f,90,59,484,347,0,31,484,316
99,8.236064872995485,781,169,0x20000f,90,59,484,347,0,31,484,316
100,8.319188789988402,786,170,0x20000f,90,59,484,347,0,31,484,316
101,8.402325630013365,791,171,0x20000f,90,59,484,347,0,31,484,316
102,8.485434212023392,796,172,0x20000f,90,59,484,347,0,31,484,316
103,8.568580746999942,801,173,0x20000f,90,59,484,347,0,31,484,316
104,8.651698567031417,806,174,0x20000f,90,59,484,347,0,31,484,316
105,8.734847954008728,811,175,0x20000f,90,59,484,347,0,31,484,316
106,8.817978293984197,816,176,0x20000f,90,59,484,347,0,31,484,316
107,8.901179746026173,821,177,0x20000f,90,59,484,347,0,31,484,316
108,8.984615653986111,826,178,0x20000f,90,59,484,347,0,31,484,316
109,9.06773713300936,830,179,0x20000f,90,59,484,347,0,31,484,316
110,9.15088758902857,835,180,0x20000f,90,59,484,347,0,31,484,316
111,9.234007195977028,840,181,0x20000f,90,59,484,347,0,31,484,316
112,9.317328302015085,845,182,0x20000f,90,59,484,347,0,31,484,316
113,9.400438654993195,850,183,0x20000f,90,59,484,347,0,31,484,316
114,9.483540043001994,855,184,0x20000f,90,59,484,347,0,31,484,316
115,9.566630619985517,860,185,0x20000f,90,59,484,347,0,31,484,316
116,9.64978301699739,865,186,0x20000f,90,59,484,347,0,31,484,316
117,9.732949909986928,870,187,0x20000f,90,59,484,347,0,31,484,316
118,9.816301141981967,875,188,0x20000f,90,59,484,347,0,31,484,316
119,9.899440332024824,880,189,0x20000f,90,59,484,347,0,31,484,316
120,9.982551108987536,885,190,0x20000f,90,59,484,347,0,31,484,316
121,10.065691823023371,890,191,0x20000f,90,59,484,347,0,31,484,316
